##############################################################################
################################### HSK 1 ####################################
##############################################################################

# 1. .. (115)
# (1)
家,             jiā,            home
学校,           xuéxiào,        school
饭馆,           fànguǎn,        restaurant
商店,           shāngdiàn,      shop
医院,           yīyuàn,         hospital
火车站,         huǒchēzhàn,     railway station; train station
中国,           Zhōngguó,       China
北京,           Běijīng,        Beijing; Peking

# (2)
上,             shàng,          up; on; on top of
下,             xià,            down; under; below
前面,           qiánmiàn,       in front of
后面,           hòumiàn,        behind
里,             lǐ,             inside; in

# (3)
今天,           jīntiān,        today
明天,           míngtiān,       tomorrow
昨天,           zuótiān,        yesterday
上午,           shàngwǔ,        forenoon; morning
中午,           zhōngwǔ,        noon
下午,           xiàwǔ,          afternoon
年,             nián,           year
月,             yuè,            month; moon
日,             rì,             day; sun
星期,           xīngqī,         week
点,             diǎn,           point
分钟,           fēnzhōng,       minute
现在,           xiànzài,        now
时候,           shíhou,         time

# (4)
爸爸,           bàba,           father
妈妈,           māma,           mother
儿子,           érzi,           son
女儿,           nǔ'ér,          daughter
老师,           lǎoshī,         teacher
学生,           xuésheng,       student
同学,           tóngxué,        classmate
朋友,           péngyou,        friend
医生,           yīshēng,        doctor
先生,           xiānsheng,      mister; Mr
小姐,           xiǎojiě,        miss

# (5)
衣服,           yīfu,           clothes
水,             shuǐ,           water
菜,             cài,            dish
米饭,           mǐfàn,          rice
水果,           shuǐguǒ,        fruit
苹果,           píngguǒ,        apple
茶,             chá,            tea
杯子,           beīzi,          glass
钱,             qián,           money
飞机,           feījī,          airplane
出租车,         chūzūchē,       taxi
电视,           diànshì,        television; tv
电脑,           diànnǎo,        computer; pc
电影,           diànyǐng,       film; movie
天气,           tiānqì,         weather
猫,             māo,            cat
狗,             gǒu,            dog
东西,           dōngxi,         things

# (6)
人,             rén,            person; human
名字,           míngzi,         name
书,             shū,            book
汉语,           Hànyǔ,          Chinese language; Chinese
字,             zì,             character; word
桌子,           zhuōzi,         table; desk
椅子,           yǐzi,           chair

# 2. .. (78)
# (1)
谢谢,           xièxie,         thank you; thanks; thank
不客气,         bú kèqi,        you are welcome; you're welcome; welcome; my pleasure
再见,           zàijiàn,        see you; bye; goodbye
请,             qǐng,           please
对不起,         duìbuqǐ,        excuse me; sorry; I am sorry; I'm sorry
没关系,         méi guānxi,     no problem

# (2)
是,             shì,            be
有,             yǒu,            have; own

# (3)
看,             kàn,            see
听,             tīng,           listen; hear
说话,           shuōhuà,        speak; speak with; talk to
读,             dú,             read aloud; read
写,             xiě,            write
看见,           kànjiàn,        see someone; see
叫,             jiào,           be called; call
来,             lái,            come
回,             huí,            return
去,             qù,             go; go to
吃,             chī,            eat
喝,             hē,             drink
睡觉,           shuìjiào,       sleep
打电话,         dǎ diànhuà,     make a phone call; phone; phone call; call
做,             zuò,            make
买,             mǎi,            buy
卖,             mài,            sell
开,             kāi,            drive; open; turn on
坐,             zuò,            sit
住,             zhù,            reside; dwell; live
学习,           xuéxí,          learn; study
工作,           gōngzuò,        work
